-512.;-05_12.
-513.;-05_13.
-514.;-05_14.
-515.;-05_15.
-516.;-05_16.
-517.;-05_17.
-518.;-05_18.
-519.;-05_19.
-520.;-05_20.
-521.;-05_21.
-522.;-05_22.
-523.;-05_23.
-524.;-05_24.
-525.;-05_25.
-526.;-05_26.
-527.;-05_27.
-528.;-05_28.
-529.;-05_29.
-530.;-05_30.
-601.;-06_01.
-602.;-06_02.
-603.;-06_03.
-604.;-06_04.
-605.;-06_05.
-606.;-06_06.
-607.;-06_07.
-608.;-06_08.
-609.;-06_09.
-610.;-06_10.
-611.;-06_11.
-612.;-06_12.
-613.;-06_13.
-614.;-06_14.
-615.;-06_15.
-616.;-06_16.
-617.;-06_17.
-618.;-06_18.
-619.;-06_19.
-620.;-06_20.
-621.;-06_21.
-622.;-06_22.
-623.;-06_23.
-624.;-06_24.
-625.;-06_25.
-626.;-06_26.
-627.;-06_27.
-628.;-06_28.
-629.;-06_29.
-630.;-06_30.
-701.;-07_01.
-702.;-07_02.
-703.;-07_03.
-704.;-07_04.
-705.;-07_05.
-706.;-07_06.
-707.;-07_07.
-708.;-07_08.
-709.;-07_09.
-710.;-07_10.
-711.;-07_11.
-712.;-07_12.
-713.;-07_13.
-714.;-07_14.
-715.;-07_15.
-716.;-07_16.
-717.;-07_17.
-718.;-07_18.
-719.;-07_19.
-720.;-07_20.
-721.;-07_21.
-722.;-07_22.
-723.;-07_23.
-724.;-07_24.
-725.;-07_25.
-726.;-07_26.
-727.;-07_27.
-728.;-07_28.
-729.;-07_29.
-730.;-07_30.
-801.;-08_01.
-802.;-08_02.
-803.;-08_03.
-804.;-08_04.
-805.;-08_05.
-806.;-08_06.
-807.;-08_07.
-808.;-08_08.
-809.;-08_09.
-810.;-08_10.
-811.;-08_11.
-812.;-08_12.
-813.;-08_13.
-814.;-08_14.
-815.;-08_15.
-816.;-08_16.
-817.;-08_17.
-818.;-08_18.
-819.;-08_19.
-820.;-08_20.
-821.;-08_21.
-822.;-08_22.
-823.;-08_23.
-824.;-08_24.
-825.;-08_25.
-826.;-08_26.
-827.;-08_27.
-828.;-08_28.
-829.;-08_29.
-830.;-08_30.
-901.;-09_01.
-902.;-09_02.
-903.;-09_03.
-904.;-09_04.
-905.;-09_05.
-906.;-09_06.
-907.;-09_07.
-908.;-09_08.
-909.;-09_09.
-910.;-09_10.
-911.;-09_11.
-912.;-09_12.
-913.;-09_13.
-914.;-09_14.
-915.;-09_15.
-916.;-09_16.
-917.;-09_17.
-918.;-09_18.
-919.;-09_19.
-920.;-09_20.
-921.;-09_21.
-922.;-09_22.
-923.;-09_23.
-924.;-09_24.
-925.;-09_25.
-926.;-09_26.
-927.;-09_27.
-928.;-09_28.
-929.;-09_29.
-930.;-09_30.
Episode 1.;Episode 01.
Episode 2.;Episode 02.
Episode 3.;Episode 03.
Episode 4.;Episode 04.
Episode 5.;Episode 05.
Episode 6.;Episode 06.
Episode 7.;Episode 07.
Episode 8.;Episode 08.
Episode 9.;Episode 09.
Season 1,;Season 01,
Season 2,;Season 02,
Season 3,;Season 03,
Season 4,;Season 04,
Season 5,;Season 05,
Season 6,;Season 06,
Season 7,;Season 07,
Season 8,;Season 08,
Season 9,;Season 09,
Dexter.5;Dexter.05x
Dexter.5;Dexter.05
dexter5;Dexter.05
Dexter.6;Dexter.06x
Dexter.6;Dexter.06
Dexter.7;Dexter.07x
Dexter.7;Dexter.07
dexter7;Dexter.07
dexter7;Dexter.07
homer20;homer 20x
homer21;homer 21x
homer22;homer 22x
homer23;homer 23x
homer24;homer 24x
homer25;homer 25x
homer26;homer 26x
homer27;homer 27x
-2brokegirls-;-twobrokegirls-
720p; 
x264; 
X264; 
x265; 
X265; 
P0W4; 
GhostUp10; 
Prim3time; 
1980; 
1981; 
1982; 
1983; 
1984; 
1985; 
1986; 
1987; 
1988; 
1989; 
1990; 
1991; 
1992; 
1993; 
1994; 
1995; 
1996; 
1997; 
1998; 
1999; 
2000; 
2001; 
2002; 
2003; 
2004; 
2005; 
2006; 
2007; 
2008; 
2009; 
2010; 
2011; 
2012; 
Teil.2;_
teil.2;_
Teil2;_
teil2;_
Teil.2;_
Teil.1;_
teil.1;_
Teil1;_
teil1;_
Teil.1;_
c0nFuSed;confused
.mp4;.mpv
stream2;stream zwei
720i;_
720p;_
480p;_
720;_
1080i;_
1080p;_
1080;_
R5;_
stream.4.kinox;_
sofsoa1;sofsoa01 
sofsoa2;sofsoa02 
sofsoa3;sofsoa03 
gu10; 
S1 S01E;01
S1 S02E;02
S1 S03E;03
3D;_
.108-pretail.;.
.A3.;Adrei
